Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,2860.00,-,-,-,211.80,-,517.80,-,-,-,-,-,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3520.00,42.45,51.25,30.30,32.15,31.05,32.15,101.00,718.46,7.42,5400.00,5200.00,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,2660.00,-,-,-,340.65,-,715.95,-,-,-,-,-,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3080.00,-,-,-,113.20,-,309.45,-,-,-,-,-,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3280.00,190.00,199.70,135.00,144.85,145.00,144.85,34.00,233.33,10.29,9000.00,1000.00,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,2880.00,-,-,-,201.00,-,498.20,-,-,-,-,-,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3100.00,335.00,335.00,285.20,290.80,290.80,291.85,8.00,54.43,4.83,21800.00,-600.00,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3300.00,120.00,189.00,119.30,130.30,128.80,130.30,902.00,6214.15,260.95,110600.00,2400.00,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3540.00,38.10,53.15,23.15,27.75,27.50,27.75,761.00,5443.62,55.74,30600.00,26800.00,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,2680.00,-,-,-,326.15,-,696.05,-,-,-,-,-,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,2900.00,514.05,514.05,514.05,514.05,514.05,478.65,1.00,6.83,1.03,1600.00,-,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3560.00,27.50,27.50,21.75,23.00,24.00,23.00,43.00,308.13,1.97,5600.00,5600.00,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,2700.00,-,-,-,550.00,550.00,676.20,-,-,-,200.00,-,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3120.00,-,-,-,240.00,240.00,274.65,-,-,-,400.00,-,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3320.00,115.00,173.30,105.60,115.50,115.20,115.50,185.00,1277.53,49.13,15800.00,-800.00,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3580.00,29.10,30.60,17.60,20.40,20.85,20.40,101.00,727.55,4.39,6200.00,6200.00,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,2920.00,-,-,-,180.50,-,459.20,-,-,-,-,-,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3140.00,-,-,-,209.00,209.00,257.85,-,-,-,400.00,-,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3340.00,99.90,158.00,96.00,104.95,105.80,104.95,528.00,3650.31,123.27,30200.00,3800.00,2876.60
ASIANPAINT,30-Jun-2023,27-Jul-2023,CE,3600.00,15.85,36.00,14.00,17.85,17.50,17.85,4334.00,31409.69,204.89,160000.00,100800.00,2876.60
