Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2460.00,16.80,21.35,12.20,14.10,12.80,14.10,340.00,1684.43,11.63,48200.00,14200.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,1920.00,-,-,-,370.25,-,429.65,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2220.00,-,-,-,126.95,126.95,142.50,-,-,-,6600.00,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2480.00,16.85,17.20,9.65,11.15,9.95,11.15,487.00,2428.96,13.44,52800.00,25000.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,1940.00,-,-,-,301.95,-,409.75,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2240.00,129.80,135.10,119.00,119.90,119.90,126.35,9.00,42.63,2.31,13000.00,600.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2500.00,10.00,13.65,7.55,8.50,7.75,8.50,3547.00,17813.62,78.62,327400.00,-3400.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,1960.00,-,-,-,334.75,-,389.90,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2520.00,9.00,10.75,5.95,6.95,6.15,6.95,205.00,1036.51,3.31,19600.00,13200.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,1980.00,-,-,-,266.40,-,370.00,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2260.00,125.00,128.40,96.20,105.50,102.70,105.50,67.00,318.31,15.47,54600.00,-1400.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2540.00,8.00,8.30,4.65,5.40,4.65,5.40,358.00,1823.59,4.95,28600.00,20400.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2000.00,-,-,-,300.55,-,350.15,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2280.00,99.00,113.40,82.85,88.95,86.20,88.95,145.00,690.09,28.89,29200.00,6800.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2560.00,6.10,6.55,3.70,4.30,3.70,4.30,124.00,636.18,1.30,11400.00,-4000.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2020.00,-,-,-,232.45,-,330.35,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2300.00,79.10,98.65,68.00,76.45,73.40,76.45,1804.00,8605.78,307.38,374600.00,-16600.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2580.00,4.55,5.20,3.15,3.50,3.15,3.50,151.00,780.45,1.29,16800.00,4600.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2040.00,-,-,-,267.80,-,310.55,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2320.00,70.10,84.40,56.80,64.15,61.00,64.15,743.00,3554.82,107.30,69000.00,-8200.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2600.00,3.05,4.25,2.35,2.65,2.45,2.65,1420.00,7393.82,9.82,187200.00,64000.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2060.00,-,-,-,200.40,-,290.85,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2340.00,47.40,71.95,46.40,53.00,49.95,53.00,1950.00,9360.05,234.05,125800.00,6000.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2080.00,-,-,-,264.60,264.60,271.25,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2640.00,1.90,2.95,1.20,1.60,1.50,1.60,460.00,2430.84,2.04,43400.00,35600.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2100.00,263.10,265.10,245.10,245.10,245.10,251.85,5.00,23.60,2.60,2200.00,800.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2360.00,47.05,60.50,37.55,43.30,40.35,43.30,2826.00,13621.36,282.64,130800.00,25800.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2680.00,1.30,1.95,1.00,1.10,1.20,1.10,59.00,316.42,0.18,19400.00,200.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2120.00,-,-,-,207.75,-,232.60,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2360.00,-,-,-,129.85,-,108.55,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2380.00,38.50,50.35,30.85,35.10,32.95,35.10,1172.00,5675.49,96.77,66600.00,24600.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2400.00,32.00,41.20,24.50,28.45,26.30,28.45,7638.00,37187.55,525.15,703000.00,294800.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,1760.00,-,-,-,520.50,-,588.90,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2140.00,-,-,-,143.35,-,213.65,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2420.00,26.05,33.50,19.60,22.80,20.70,22.80,786.00,3845.54,41.30,44000.00,13200.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,1800.00,-,-,-,482.05,-,549.10,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,1840.00,-,-,-,444.10,-,509.30,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2160.00,-,-,-,180.60,-,195.10,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2440.00,20.20,26.75,15.60,17.35,16.55,17.35,1009.00,4969.83,45.91,68800.00,14200.00,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2180.00,-,-,-,118.80,-,176.95,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2320.00,114.70,114.70,114.70,114.70,114.70,106.95,1.00,4.87,0.23,200.00,200.00,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2640.00,-,-,-,15.70,-,11.45,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,1920.00,-,-,-,340.65,-,442.10,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2000.00,-,-,-,274.00,-,364.55,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2340.00,111.30,111.30,95.00,95.00,95.00,96.00,5.00,24.47,1.07,1000.00,1000.00,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,1960.00,-,-,-,306.60,-,403.10,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2040.00,-,-,-,243.10,-,326.60,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2360.00,-,-,-,70.25,-,85.85,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2380.00,-,-,-,94.00,-,76.45,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2720.00,-,-,-,9.60,-,5.55,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2080.00,-,-,-,214.10,-,289.60,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2400.00,69.00,81.50,67.00,69.30,67.70,69.30,104.00,515.12,15.92,17200.00,15200.00,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2420.00,-,-,-,77.05,-,59.85,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,3320.00,-,-,-,-,-,-,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2120.00,-,-,-,186.95,-,253.85,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2140.00,-,-,-,246.85,-,236.60,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2440.00,62.40,64.70,60.55,60.55,60.55,52.60,6.00,30.03,0.75,1200.00,400.00,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2160.00,-,-,-,162.05,-,219.75,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2460.00,-,-,-,62.45,-,46.05,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2180.00,-,-,-,215.65,-,203.45,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2480.00,-,-,-,38.70,-,40.15,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2200.00,205.40,205.40,205.40,205.40,205.40,187.70,7.00,33.68,2.88,1400.00,1400.00,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2500.00,40.00,40.00,39.35,39.35,39.35,39.35,5.00,25.40,0.40,1000.00,1000.00,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2220.00,-,-,-,186.50,-,172.55,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2520.00,-,-,-,31.20,-,30.10,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2240.00,-,-,-,118.85,-,158.00,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2540.00,-,-,-,39.85,-,25.90,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2260.00,-,-,-,159.70,-,144.15,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2560.00,-,-,-,25.00,-,22.20,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,1760.00,-,-,-,487.35,-,599.80,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,1840.00,-,-,-,412.30,-,520.80,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2280.00,-,-,-,100.55,-,131.00,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,1880.00,-,-,-,375.95,-,481.35,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2300.00,-,-,-,135.30,-,118.60,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,29-May-2025,CE,2600.00,10.00,18.00,10.00,15.15,18.00,15.15,14.00,73.22,0.42,2800.00,2800.00,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2400.00,-,-,-,111.15,-,89.80,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2440.00,-,-,-,94.45,-,73.50,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2480.00,-,-,-,79.75,-,59.45,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2520.00,-,-,-,66.80,-,47.60,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2560.00,-,-,-,55.60,-,37.70,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2000.00,-,-,-,385.25,-,377.30,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2640.00,-,-,-,37.80,-,22.85,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2080.00,-,-,-,316.80,-,305.20,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2120.00,-,-,-,284.60,-,271.10,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2160.00,-,-,-,254.05,-,238.65,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,3080.00,-,-,-,-,-,-,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2200.00,-,-,-,225.30,-,208.05,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2240.00,-,-,-,198.30,-,179.60,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2280.00,-,-,-,173.40,-,153.50,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,26-Jun-2025,CE,2320.00,-,-,-,150.60,-,129.75,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,1880.00,-,-,-,406.75,-,469.45,-,-,-,-,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,1900.00,-,-,-,415.00,415.00,449.55,-,-,-,400.00,-,2340.65
ASIANPAINT,28-Mar-2025,24-Apr-2025,CE,2200.00,180.50,180.85,143.00,160.75,160.75,159.40,50.00,236.21,16.21,45200.00,3600.00,2340.65
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2240.00,-,-,-,112.85,112.15,125.60,-,-,-,12400.00,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2500.00,7.35,10.60,6.55,9.85,10.20,9.85,1232.00,6182.26,22.26,330800.00,93200.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,1960.00,-,-,-,334.75,-,387.90,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2520.00,7.00,7.90,7.00,7.45,7.70,7.45,37.00,187.02,0.54,6400.00,3600.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,1980.00,-,-,-,266.40,-,368.05,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2260.00,81.30,111.75,81.30,109.70,110.45,109.70,329.00,1552.57,65.49,56000.00,6600.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2540.00,5.50,5.85,5.35,5.65,5.65,5.65,30.00,152.74,0.34,8200.00,800.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2000.00,-,-,-,300.55,-,348.20,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2280.00,67.55,97.00,64.50,95.05,96.15,95.05,279.00,1316.84,44.60,22400.00,-1200.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2560.00,4.25,5.75,3.45,5.05,5.75,5.05,41.00,210.28,0.36,15400.00,5000.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2020.00,-,-,-,232.45,-,328.40,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2300.00,58.05,85.80,53.70,81.80,82.05,81.80,3179.00,15071.92,448.52,391200.00,4600.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2580.00,3.40,4.40,3.15,4.40,4.40,4.40,43.00,222.17,0.29,12200.00,1000.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2040.00,-,-,-,267.80,-,308.65,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2320.00,51.15,72.20,42.80,69.15,69.75,69.15,1245.00,5925.39,148.59,77200.00,-10400.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2600.00,3.30,3.30,2.25,2.70,2.90,2.70,983.00,5116.76,5.16,123200.00,44800.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2060.00,-,-,-,200.40,-,289.00,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2340.00,40.50,60.20,36.00,57.40,59.60,57.40,1795.00,8584.42,183.82,119800.00,6800.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2080.00,-,-,-,264.60,264.60,269.45,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2640.00,1.80,1.85,1.75,1.80,1.80,1.45,15.00,79.25,0.05,7800.00,1600.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2100.00,239.00,245.00,239.00,245.00,245.00,250.05,4.00,18.75,1.95,1400.00,200.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2360.00,33.15,50.00,29.45,47.00,49.25,47.00,1148.00,5514.53,95.97,105000.00,24400.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2680.00,0.80,1.35,0.65,0.75,0.80,0.75,71.00,380.69,0.13,19200.00,2600.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2120.00,-,-,-,207.75,-,230.95,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2380.00,27.25,41.10,23.65,38.45,40.95,38.45,457.00,2206.58,31.26,42000.00,14800.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2400.00,22.75,33.75,19.20,31.90,32.85,31.90,3484.00,16912.49,189.29,408200.00,54800.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,1760.00,-,-,-,520.50,-,586.85,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2140.00,-,-,-,143.35,-,212.10,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2420.00,16.00,26.35,15.95,25.25,26.00,25.25,407.00,1987.70,17.82,30800.00,1200.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,1800.00,-,-,-,482.05,-,547.05,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,1840.00,-,-,-,444.10,-,507.25,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2160.00,-,-,-,180.60,-,193.65,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2440.00,15.10,21.35,14.45,20.15,21.00,20.15,516.00,2537.03,18.95,54600.00,15600.00,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2180.00,-,-,-,118.80,-,175.65,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,24-Apr-2025,CE,2460.00,11.50,16.85,10.00,15.65,16.80,15.65,305.00,1509.11,8.51,34000.00,12000.00,2338.10
ASIANPAINT,27-Mar-2025,29-May-2025,CE,2320.00,-,-,-,84.35,-,106.60,-,-,-,-,-,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2040.00,-,-,-,168.35,168.35,2338.10,-,-,-,3000.00,-,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2280.00,17.60,55.65,17.60,49.40,48.00,2338.10,223.00,1034.06,17.18,114800.00,-1600.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2520.00,0.15,0.25,0.05,0.05,0.05,2338.10,28.00,141.13,0.01,29000.00,-2600.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2300.00,5.65,40.00,3.40,29.50,40.00,2338.10,1889.00,8748.13,58.73,246200.00,-86400.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2540.00,0.05,0.05,0.05,0.05,0.05,2338.10,1.00,5.08,-,3800.00,-200.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2060.00,-,-,-,148.55,148.55,2338.10,-,-,-,5200.00,-,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2560.00,-,-,-,0.20,0.20,2338.10,-,-,-,200.00,-,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2080.00,-,-,-,212.35,212.35,2338.10,-,-,-,6400.00,-,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2320.00,3.20,20.00,1.50,13.20,18.00,2338.10,1533.00,7135.78,22.66,145400.00,-36200.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2580.00,0.15,0.15,0.05,0.05,0.05,2338.10,10.00,51.60,-,5200.00,-,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2100.00,218.05,227.50,218.05,227.50,227.50,2338.10,5.00,23.23,2.23,16000.00,-600.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2340.00,2.75,2.75,0.05,0.05,0.05,2338.10,2345.00,10978.78,4.18,197000.00,-44800.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2600.00,0.05,0.30,0.05,0.05,0.05,2338.10,520.00,2704.16,0.16,117600.00,-20000.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2360.00,0.55,0.95,0.05,0.05,0.05,2338.10,736.00,3474.22,0.30,168000.00,-13800.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2120.00,195.00,217.30,195.00,217.30,217.30,2338.10,4.00,18.58,1.62,12400.00,-200.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2620.00,-,-,-,0.90,0.90,2338.10,-,-,-,600.00,-,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,1760.00,-,-,-,565.00,565.00,2338.10,-,-,-,400.00,-,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,1800.00,528.00,528.00,528.00,528.00,528.00,2338.10,1.00,4.66,1.06,1800.00,-,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2140.00,187.00,189.00,187.00,188.35,189.00,2338.10,3.00,13.97,1.13,35400.00,-200.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2380.00,0.90,1.25,0.05,0.05,0.05,2338.10,289.00,1375.74,0.10,64600.00,-9400.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,2640.00,0.30,0.30,0.05,0.05,0.05,2338.10,14.00,73.92,-,14800.00,-200.00,2338.10
ASIANPAINT,27-Mar-2025,27-Mar-2025,CE,1840.00,-,-,-,459.75,-,2338.10,-,-,-,-,-,2338.10
