Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ASIANPAINT,30-Sep-2024,28-Nov-2024,CE,2960.00,-,-,-,268.85,-,414.25,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,28-Nov-2024,CE,3480.00,-,-,-,46.60,-,76.70,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,28-Nov-2024,CE,3220.00,-,-,-,177.50,-,206.85,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,28-Nov-2024,CE,3500.00,68.00,68.00,60.00,60.00,60.00,70.10,2.00,14.26,0.26,200.00,200.00,2876.60
ASIANPAINT,30-Sep-2024,28-Nov-2024,CE,3000.00,-,-,-,242.00,-,378.65,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,28-Nov-2024,CE,3240.00,-,-,-,116.05,-,193.85,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,28-Nov-2024,CE,3520.00,-,-,-,39.35,-,63.95,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3280.00,-,-,-,178.20,-,204.70,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3320.00,-,-,-,157.90,-,182.25,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3360.00,-,-,-,139.30,-,161.50,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,2960.00,-,-,-,397.40,-,439.35,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3400.00,-,-,-,122.25,-,142.40,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3440.00,-,-,-,106.80,-,124.95,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3480.00,-,-,-,92.90,-,109.10,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3160.00,211.00,211.00,204.65,207.85,204.65,207.85,2.00,13.47,0.83,2200.00,200.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3380.00,62.00,87.20,62.00,71.80,68.35,71.80,882.00,6096.82,134.50,51200.00,12400.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3720.00,6.70,8.80,5.85,6.70,6.25,6.70,614.00,4576.86,8.70,23000.00,-9800.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,2960.00,-,-,-,185.00,185.00,390.00,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3180.00,190.40,190.40,190.40,190.40,190.40,195.70,1.00,6.74,0.38,1400.00,200.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3400.00,58.90,78.80,54.80,62.90,61.35,62.90,7273.00,50440.27,983.87,438800.00,-24400.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3760.00,5.05,6.45,4.20,5.05,4.75,5.05,228.00,1717.10,2.54,23600.00,14200.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,2680.00,-,-,-,580.00,580.00,665.70,-,-,-,5400.00,-,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3420.00,52.00,69.50,48.05,55.40,53.95,55.40,1630.00,11345.96,196.76,126000.00,89600.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3800.00,3.95,4.80,3.45,3.80,3.45,3.80,707.00,5378.76,5.56,96800.00,39000.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3200.00,170.00,202.60,169.80,180.05,178.90,180.05,112.00,758.37,41.57,51800.00,400.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3440.00,43.75,61.00,42.75,48.85,47.00,48.85,539.00,3764.56,56.24,62600.00,6600.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3000.00,370.05,375.00,368.00,373.00,373.00,351.95,5.00,33.72,3.72,17800.00,-,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3220.00,158.00,186.95,150.20,177.90,177.90,166.10,18.00,122.20,6.28,13600.00,-1600.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3460.00,39.65,54.20,39.05,43.10,40.65,43.10,402.00,2818.55,36.71,38000.00,8000.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3240.00,141.55,171.90,141.10,146.10,144.70,146.10,75.00,509.37,23.37,22800.00,-2400.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3480.00,37.00,47.70,33.50,37.25,36.00,37.25,320.00,2252.55,25.35,14000.00,-800.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,2800.00,-,-,-,450.00,450.00,546.65,-,-,-,600.00,-,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3040.00,-,-,-,106.35,-,314.75,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3260.00,127.35,158.15,126.10,135.85,132.05,135.85,297.00,2020.93,84.49,51800.00,3200.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3500.00,29.60,42.30,28.05,32.65,31.40,32.65,4177.00,29530.32,291.32,391200.00,28000.00,2876.60
ASIANPAINT,30-Sep-2024,31-Oct-2024,CE,3280.00,117.40,142.85,114.00,121.60,119.85,121.60,246.00,1676.06,62.30,19800.00,-4800.00,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3520.00,-,-,-,80.40,-,94.80,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3040.00,-,-,-,333.90,-,372.65,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3600.00,-,-,-,59.55,-,70.55,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3680.00,-,-,-,43.15,-,51.55,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3760.00,-,-,-,30.75,-,36.95,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3080.00,-,-,-,304.25,-,341.05,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,4800.00,-,-,-,-,-,-,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3560.00,-,-,-,69.25,-,81.95,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,2800.00,-,-,-,536.95,-,583.50,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3120.00,-,-,-,275.75,-,310.80,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3160.00,-,-,-,248.95,-,282.05,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3200.00,-,-,-,223.75,-,254.55,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,2880.00,-,-,-,465.40,-,509.95,-,-,-,-,-,2876.60
ASIANPAINT,30-Sep-2024,26-Dec-2024,CE,3240.00,-,-,-,200.15,-,228.80,-,-,-,-,-,2876.60
