Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2940.00,10.50,12.40,8.75,9.20,9.50,9.20,268.00,1976.62,6.82,57500.00,3500.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2740.00,71.00,91.40,71.00,78.90,78.55,78.90,280.00,1974.70,56.70,26250.00,2750.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2840.00,30.95,36.60,28.10,30.35,30.40,30.35,967.00,6943.19,77.49,75500.00,-3000.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3240.00,1.30,1.30,0.60,0.65,0.65,0.20,31.00,251.17,0.07,6250.00,-3500.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2600.00,200.00,206.35,188.35,189.15,189.15,189.15,10.00,69.95,4.95,33000.00,-500.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2480.00,-,-,-,300.45,300.45,300.75,-,-,-,250.00,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3100.00,2.55,2.55,1.60,1.85,1.90,1.85,89.00,690.19,0.44,113500.00,-1750.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2540.00,-,-,-,375.15,-,243.35,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2680.00,137.00,137.00,120.25,120.40,120.55,120.40,9.00,63.21,2.91,2250.00,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2560.00,-,-,-,271.00,271.00,224.75,-,-,-,250.00,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3080.00,3.00,3.00,1.80,2.00,2.15,2.00,99.00,762.85,0.55,28750.00,12750.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2520.00,-,-,-,261.00,261.00,262.25,-,-,-,8250.00,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3000.00,6.00,6.70,4.50,4.85,4.95,4.85,1040.00,7814.13,14.13,423000.00,59000.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3060.00,3.40,3.40,2.20,2.55,2.60,2.55,570.00,4364.69,4.19,127750.00,115250.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2860.00,23.95,29.55,22.25,23.70,23.75,23.70,3173.00,22885.30,198.35,517750.00,462750.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3020.00,5.35,5.40,3.60,3.75,4.00,3.75,265.00,2003.62,2.87,37750.00,16250.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2360.00,-,-,-,230.20,-,419.15,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2800.00,40.00,55.00,40.00,46.40,46.80,46.40,3221.00,22939.37,392.37,366000.00,57250.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2920.00,13.00,15.50,10.85,11.50,11.80,11.50,170.00,1246.46,5.46,38250.00,2750.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3320.00,0.40,1.00,0.40,0.55,0.55,0.05,57.00,473.19,0.09,20000.00,4000.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2660.00,-,-,-,120.00,120.00,139.35,-,-,-,3250.00,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2820.00,36.00,45.05,34.50,37.55,37.40,37.55,566.00,4046.28,55.98,53500.00,-2750.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3040.00,3.65,4.10,2.95,3.20,3.25,3.20,171.00,1301.14,1.54,28500.00,20000.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2500.00,-,-,-,280.00,280.00,281.40,-,-,-,500.00,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3140.00,-,-,-,41.00,-,0.95,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2780.00,52.35,65.50,50.45,56.15,56.25,56.15,1850.00,13127.71,270.21,121750.00,26250.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2900.00,15.00,19.80,13.80,14.85,14.85,14.85,2211.00,16119.92,90.17,388250.00,27000.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3180.00,1.05,1.20,1.05,1.15,1.20,1.15,26.00,206.77,0.07,2000.00,2000.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2440.00,-,-,-,177.25,-,339.95,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2700.00,99.00,120.00,97.65,106.15,106.90,106.15,122.00,856.84,33.34,35500.00,5000.00,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,2580.00,-,-,-,340.40,-,206.60,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,27-Jan-2026,CE,3280.00,0.75,1.05,0.35,0.70,0.70,0.70,12.00,98.42,0.02,4500.00,-2500.00,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2980.00,-,-,-,40.35,-,27.75,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2600.00,-,-,-,347.15,-,213.45,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2620.00,-,-,-,205.30,-,197.85,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2700.00,-,-,-,152.80,-,141.40,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2640.00,-,-,-,316.05,-,182.80,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2820.00,-,-,-,91.45,-,77.00,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,3040.00,20.00,20.00,20.00,20.00,20.00,17.80,1.00,7.65,0.05,1250.00,250.00,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2760.00,-,-,-,129.00,129.00,106.05,-,-,-,2500.00,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2660.00,-,-,-,177.90,-,168.35,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2800.00,83.05,94.55,80.30,81.15,81.15,85.95,28.00,202.18,6.18,14000.00,3000.00,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2680.00,-,-,-,286.45,-,154.55,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2480.00,-,-,-,447.95,-,316.65,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2320.00,-,-,-,594.85,-,469.40,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2520.00,-,-,-,413.25,-,280.70,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2400.00,-,-,-,520.05,-,391.80,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,3000.00,23.20,27.00,22.10,22.55,22.50,22.55,20.00,151.25,1.25,26000.00,1750.00,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2540.00,-,-,-,266.00,-,263.20,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2780.00,102.65,105.00,102.30,105.00,105.00,95.65,6.00,43.25,1.55,1500.00,1500.00,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,3080.00,-,-,-,81.25,-,12.95,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2860.00,-,-,-,75.55,-,61.05,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2440.00,-,-,-,483.60,-,353.80,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,2560.00,-,-,-,379.60,-,246.15,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,3120.00,-,-,-,69.65,-,9.30,-,-,-,-,-,2769.50
ASIANPAINT,31-Dec-2025,24-Feb-2026,CE,3280.00,-,-,-,35.95,-,2.15,-,-,-,-,-,2769.50
