Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ASIANPAINT,30-Jun-2025,31-Jul-2025,CE,2280.00,116.05,117.00,91.55,98.50,98.50,98.50,58.00,345.75,15.15,27500.00,-3750.00,2341.10
ASIANPAINT,30-Jun-2025,31-Jul-2025,CE,2600.00,5.05,5.05,3.25,3.70,3.60,3.70,1454.00,9464.69,13.69,323000.00,37000.00,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2380.00,-,-,-,65.30,-,85.40,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2360.00,-,-,-,103.45,-,94.70,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2640.00,-,-,-,26.85,-,16.45,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2260.00,-,-,-,121.20,-,151.50,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2120.00,-,-,-,245.05,-,257.25,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2540.00,-,-,-,23.95,-,33.10,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2080.00,-,-,-,275.70,-,291.85,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2220.00,-,-,-,145.20,-,178.95,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2140.00,-,-,-,200.90,-,240.55,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2580.00,-,-,-,18.05,-,25.30,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2460.00,-,-,-,40.55,-,54.55,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2520.00,-,-,-,50.10,-,37.75,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2240.00,-,-,-,164.75,-,164.85,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2680.00,22.60,22.60,0.05,6.95,6.95,12.20,12.00,80.48,0.08,2750.00,2750.00,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2300.00,-,-,-,99.90,-,126.75,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2040.00,-,-,-,307.95,-,327.85,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2420.00,-,-,-,51.80,-,68.70,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2200.00,-,-,-,189.45,-,193.45,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2560.00,-,-,-,40.95,-,29.00,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2600.00,-,-,-,33.30,-,22.00,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2320.00,-,-,-,121.70,-,115.40,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2500.00,21.00,29.15,21.00,26.15,26.15,42.75,10.00,63.14,0.64,2500.00,500.00,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2180.00,-,-,-,171.80,-,208.65,-,-,-,-,-,2341.10
ASIANPAINT,30-Jun-2025,28-Aug-2025,CE,2400.00,67.00,68.00,57.00,61.35,61.35,61.35,21.00,129.18,3.18,6250.00,2500.00,2341.10
