Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ASIANPAINT,29-Sep-2023,26-Oct-2023,CE,3180.00,85.00,85.00,62.30,74.55,70.95,74.55,1276.00,8299.88,184.52,40800.00,14800.00,-
ASIANPAINT,29-Sep-2023,26-Oct-2023,CE,3380.00,21.90,21.95,15.80,18.95,20.20,18.95,491.00,3336.80,17.64,36200.00,16600.00,-
ASIANPAINT,29-Sep-2023,26-Oct-2023,CE,3600.00,6.15,6.25,4.15,4.55,4.90,4.55,1396.00,10063.98,12.78,186000.00,54800.00,-
ASIANPAINT,29-Sep-2023,26-Oct-2023,CE,3200.00,73.05,79.00,55.00,65.85,67.45,65.85,5203.00,33951.96,652.76,280000.00,29000.00,-
ASIANPAINT,29-Sep-2023,26-Oct-2023,CE,3400.00,19.15,20.60,13.90,16.85,17.75,16.85,5179.00,35383.36,166.16,1122600.00,98600.00,-
ASIANPAINT,29-Sep-2023,30-Nov-2023,CE,3320.00,-,-,-,164.40,-,83.45,-,-,-,-,-,-
ASIANPAINT,29-Sep-2023,30-Nov-2023,CE,3520.00,-,-,-,89.60,-,34.30,-,-,-,-,-,-
ASIANPAINT,29-Sep-2023,30-Nov-2023,CE,3340.00,-,-,-,155.35,-,76.90,-,-,-,-,-,-
ASIANPAINT,29-Sep-2023,30-Nov-2023,CE,3540.00,-,-,-,83.90,-,31.10,-,-,-,-,-,-
ASIANPAINT,29-Sep-2023,30-Nov-2023,CE,3360.00,-,-,-,146.65,-,70.70,-,-,-,-,-,-
ASIANPAINT,29-Sep-2023,30-Nov-2023,CE,3560.00,-,-,-,78.50,-,28.20,-,-,-,-,-,-
ASIANPAINT,29-Sep-2023,30-Nov-2023,CE,3380.00,-,-,-,138.35,-,64.95,-,-,-,-,-,-
ASIANPAINT,29-Sep-2023,30-Nov-2023,CE,3580.00,-,-,-,73.55,-,25.50,-,-,-,-,-,-
ASIANPAINT,29-Sep-2023,30-Nov-2023,CE,3400.00,-,-,-,130.40,-,59.55,-,-,-,-,-,-
