Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3360.00,135.20,145.90,124.70,130.40,129.25,130.40,112.00,782.80,30.16,10400.00,-1000.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2760.00,-,-,-,298.20,-,656.15,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3080.00,-,-,-,116.80,-,339.45,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3380.00,124.70,133.15,111.05,119.55,117.00,119.55,586.00,4103.50,142.14,36200.00,2400.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2780.00,-,-,-,283.75,-,636.25,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3100.00,327.80,330.10,327.45,327.45,327.45,320.20,3.00,20.57,1.97,7200.00,-400.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3400.00,108.00,123.70,101.20,108.70,106.45,108.70,3537.00,24847.76,796.16,256000.00,20800.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2800.00,-,-,-,269.60,-,616.35,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3120.00,-,-,-,101.60,-,301.15,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3420.00,100.00,114.20,91.60,98.60,96.05,98.60,1544.00,10881.19,320.23,42600.00,18800.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2820.00,-,-,-,255.95,-,596.45,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3140.00,283.30,283.30,283.30,283.30,283.30,282.30,1.00,6.85,0.57,200.00,200.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3440.00,94.35,101.95,82.25,89.40,87.35,89.40,720.00,5085.78,132.18,33200.00,12800.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2540.00,-,-,-,478.15,-,875.05,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2840.00,-,-,-,242.70,-,576.55,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3160.00,268.65,268.65,268.65,268.65,268.65,263.75,1.00,6.86,0.54,200.00,200.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3460.00,80.00,92.00,74.40,80.55,79.00,80.55,687.00,4867.85,113.81,32200.00,15400.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3480.00,-,-,-,23.55,-,47.50,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2560.00,-,-,-,460.45,-,855.15,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2860.00,-,-,-,229.90,-,556.65,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3180.00,-,-,-,81.75,-,245.50,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3500.00,65.65,75.40,60.10,65.30,64.00,65.30,3181.00,22694.66,427.66,187400.00,20600.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2580.00,-,-,-,442.95,-,835.25,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2880.00,-,-,-,217.50,-,536.80,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3520.00,56.75,67.15,54.10,58.55,58.35,58.55,321.00,2298.50,38.66,24200.00,17800.00,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2600.00,-,-,-,425.70,-,815.35,-,-,-,-,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,2900.00,-,-,-,475.00,475.00,516.90,-,-,-,400.00,-,3402.40
ASIANPAINT,29-Dec-2023,25-Jan-2024,CE,3200.00,244.10,267.00,244.10,250.30,250.30,227.65,35.00,241.97,17.97,40600.00,-,3402.40
