,Date,Volume,vol_ma
0,2023-01-02,1015990,
1,2023-01-03,860367,
2,2023-01-04,836382,
3,2023-01-05,1113920,
4,2023-01-06,1045526,974437.0
5,2023-01-09,808263,932891.6
6,2023-01-10,864325,933683.2
7,2023-01-11,890426,944492.0
8,2023-01-12,1558620,1033432.0
9,2023-01-13,1507864,1125899.6
10,2023-01-16,644073,1093061.6
11,2023-01-17,716489,1063494.4
12,2023-01-18,893808,1064170.8
13,2023-01-19,2379947,1228436.2
14,2023-01-20,3171005,1561064.4
15,2023-01-23,1402260,1712701.8
16,2023-01-24,1061471,1781698.2
17,2023-01-25,857953,1774527.2
18,2023-01-27,1801498,1658837.4
19,2023-01-30,1171912,1259018.8
20,2023-01-31,1961805,1370927.8
21,2023-02-01,1176872,1394008.0
22,2023-02-02,1308570,1484131.4
23,2023-02-03,1278409,1379513.6
24,2023-02-06,1120284,1369188.0
25,2023-02-07,732250,1123277.0
26,2023-02-08,811956,1050293.8
27,2023-02-09,946372,977854.2
28,2023-02-10,700072,862186.8
29,2023-02-13,467228,731575.6
30,2023-02-14,524746,690074.8
31,2023-02-15,817717,691227.0
32,2023-02-16,788964,659745.4
33,2023-02-17,840526,687836.2
34,2023-02-20,646218,723634.2
35,2023-02-21,631934,745071.8
36,2023-02-22,580270,697582.4
37,2023-02-23,1790570,897903.6
38,2023-02-24,1429040,1015606.4
39,2023-02-27,561317,998626.2
40,2023-02-28,1815923,1235424.0
41,2023-03-01,816598,1282689.6
42,2023-03-02,604523,1045480.2
43,2023-03-03,679295,895531.2
44,2023-03-06,1050267,993321.2
45,2023-03-08,580250,746186.6
46,2023-03-09,774224,737711.8
47,2023-03-10,489978,714802.8
48,2023-03-13,813217,741587.2
49,2023-03-14,1060450,743623.8
50,2023-03-15,2170346,1061643.0
51,2023-03-16,1755487,1257895.6
52,2023-03-17,1848073,1529514.6
53,2023-03-20,1074367,1581744.6
54,2023-03-21,691891,1508032.8
55,2023-03-22,731807,1220325.0
56,2023-03-23,1016581,1072543.8
57,2023-03-24,784111,859751.4
58,2023-03-27,791560,803190.0
59,2023-03-28,558581,776528.0
60,2023-03-29,1087648,847696.2
61,2023-03-31,1967803,1037940.6
62,2023-04-03,1035295,1088177.4
63,2023-04-05,668643,1063594.0
64,2023-04-06,627554,1077388.6
65,2023-04-10,1215461,1102951.2
66,2023-04-11,1246379,958666.4
67,2023-04-12,2235399,1198687.2
68,2023-04-13,602597,1185478.0
